area,type,number,median,years1,years5,years10,inc
Coombs,houses,31,725.8994,688.3220387,607.3626382,,0.036300417
Theodore,houses,34,525.7229,529.4932963,440.7423451,453.8339744,0.035891867
Belconnen,units,394,450.9224,442.3301453,378.2651322,376.0628005,0.035764686
Kambah,houses,141,496.3218,499.2141826,416.5812139,411.6534084,0.035649343
Farrer,houses,37,625.9029,646.0175259,525.5850044,497.7741342,0.035554117
Mawson,houses,54,533.4733,561.1578727,448.6099679,450.1498675,0.035258378
Civic,units,518,596.6609,592.6372716,502.1263895,517.7262144,0.035101425
Isabella Plains,houses,30,517.911,529.1487927,435.9608348,413.1222561,0.035050482
Jacka,units,21,466.5321,448.6719619,392.7301585,,0.035040767
Giralang,houses,61,529.3629,529.7367548,445.9461798,433.8760338,0.034890048
Evatt,houses,94,508.8973,511.1717361,429.2597565,407.8470571,0.03462268
Fraser,houses,19,570.7127,559.4186955,481.8048525,397.8855652,0.034449451
Curtin,houses,121,576.4817,583.8060939,486.9111505,472.8917897,0.034349148
Hughes,houses,70,618.0234,627.264287,522.0917231,460.5678216,0.03431214
Barton,units,257,542.8085,546.3769699,459.037453,600.6453803,0.034093251
Chifley,houses,52,535.5822,557.8158193,453.0870703,430.4105756,0.034019891
Monash,units,27,475.1197,480.06928,402.0401819,377.2688743,0.033967089
Garran,units,65,552.5843,549.8269765,467.6182332,391.4390957,0.033954484
Griffith (ACT),units,282,528.2823,517.1565209,447.5471095,449.0148937,0.03372605
Yarralumla,houses,84,811.845,877.2779146,688.0138997,710.4549751,0.033653981
Oxley (ACT),houses,13,573.655,580.3154587,486.3535839,428.0754435,0.033569613
Kaleen,houses,121,523.5992,520.3288732,445.7777257,407.5335105,0.032704625
Fadden,houses,23,562.9042,559.8324247,479.4655674,517.3569418,0.032607828
Gungahlin,houses,142,616.3178,607.6891848,525.4215401,500.912902,0.032427033
Cook,units,32,473.5027,451.9494663,403.7726364,379.015785,0.032374135
Bruce,units,346,488.6662,470.3496714,417.5088364,508.671499,0.031975355
Evatt,units,12,478.4524,454.436382,409.3196373,390.6555628,0.031704278
Oxley (ACT),units,10,432.4453,432.035005,370.0154065,382.998944,0.031673499
Monash,houses,32,567.7591,557.0361229,487.354978,434.1518203,0.031012046
Wanniassa,units,27,420.1908,423.1208718,360.7529254,349.6200868,0.030973104
Stirling,houses,27,597.1942,585.9891223,512.7443035,421.8953419,0.030962687
Theodore,units,15,451.6514,472.8288317,388.6477886,387.8455529,0.030503407
Belconnen,houses,15,473.7023,492.4011213,408.6194954,383.4624697,0.030000136
Phillip,units,204,441.3917,437.1139421,380.986572,365.0254569,0.029871165
Mawson,units,94,420.0298,418.2933959,362.7225631,372.2383203,0.029772065
Rivett,houses,48,510.2081,512.4458918,440.9072312,400.1108322,0.029627244
Gordon (ACT),houses,58,558.9715,563.4880131,483.3275903,457.7282918,0.029507739
Chisholm,houses,34,477.1229,488.5346978,412.7429671,397.9431206,0.029414108
Gowrie (ACT),houses,18,562.6302,563.5631043,486.9899404,419.9819018,0.02929677
Narrabundah,houses,149,568.3576,593.6668621,493.1959255,542.9697336,0.028775086
Franklin,houses,110,638.1201,639.4976508,553.8659895,563.6978935,0.028725595
Lyons (ACT),houses,43,546.8102,564.7399368,475.1167501,438.4905352,0.028507003
Banks,houses,38,544.1805,548.3070749,473.1403593,472.8852923,0.028372835
Duffy,houses,38,584.2023,573.3329946,508.1503741,413.4727214,0.028286662
Harrison,houses,141,632.7322,632.197397,550.6016921,538.6853173,0.028197347
Turner,units,321,540.5365,549.8460384,471.0037644,504.0551169,0.027921925
Amaroo,houses,71,586.8202,585.6306027,511.5895104,473.8944734,0.027819102
Pearce,houses,41,538.944,566.6753425,470.0888328,456.2647137,0.027715109
Lyons (ACT),units,82,400.4767,403.0692535,349.4195066,344.7785163,0.027651881
Fisher,houses,40,499.228,506.3828273,437.2461549,401.5205689,0.026867922
Narrabundah,units,82,519.7296,492.653891,455.5504748,503.0439609,0.02671094
Conder,houses,34,553.9825,572.2593471,485.5812515,470.4411549,0.026707719
Lyneham,units,234,483.2126,477.0068916,424.2700697,416.7994017,0.026358707
Holder,houses,36,523.4737,518.3936814,460.5427364,417.9956438,0.025947142
Isaacs,units,13,540.6507,522.9192963,477.3234502,447.9343127,0.025228805
Nicholls,houses,84,652.7025,654.6172798,576.4606036,540.0381753,0.025154043
Red Hill (ACT),units,34,496.3813,491.0095194,439.5954271,484.5259173,0.024595512
Hughes,units,36,354.3331,356.3200883,314.2728199,329.5147465,0.024285395
Forrest,houses,24,1168.3227,1232.158394,1038.840789,816.7979173,0.023770861
Crace,units,39,461.5893,420.9597815,410.4718176,,0.023751327
Kingston (ACT),units,707,562.7399,556.2617612,501.0974099,492.6214702,0.023474697
Hackett,units,38,390.0321,376.465692,347.8358356,315.5416258,0.023163893
Macarthur,houses,12,557.2628,556.3831327,502.48941,454.7361695,0.020908049
Gilmore,units,10,461.7315,420.9810289,416.5182507,383.4402928,0.020824521
Weston,houses,51,517.995,514.4481956,469.437808,421.1627116,0.019880999
Hawker,houses,20,611.1914,597.2621256,555.2828543,583.2996852,0.019371751
Waramanga,houses,38,497.5346,502.3374326,452.0632096,400.1722141,0.019353515
Garran,houses,61,636.4125,638.1760593,582.4785865,467.8782541,0.017868671
Chapman,houses,39,614.582,603.9788796,570.7679342,486.8139467,0.014901873
Palmerston,houses,81,588.4378,590.4010038,547.8624549,501.148001,0.014391975
Isaacs,houses,43,631.903,648.7260547,592.9569231,542.6835655,0.012804109
Bruce,houses,49,655.7586,628.3482106,623.3931885,677.2588276,0.01017447
Kingston (ACT),houses,19,695.1396,672.5748828,663.4307632,530.6425108,0.00938137
McKellar,houses,44,553.2227,554.9458824,528.3280241,469.7327263,0.009251187
Greenway,units,201,478.0124,490.7066161,459.7405959,423.6775625,0.007825312
Wright,units,127,458.2044,484.4939947,600.992868,,-0.052808074
OMalley,houses,11,751.6773,805.1040472,1089.190582,586.65279,-0.071492296
